"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"COMPONENTE";"H15";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"CH03";"CH04";"CH05";"CH06";"CH07";"CH08";"CH09";"CH10";"CH11";"CH12";"CH13";"CH14";"CH15";"CH15_COD";"CH16";"CH16_COD";"NIVEL_ED";"ESTADO";"CAT_OCUP";"CAT_INAC";"IMPUTA";"PP02C1";"PP02C2";"PP02C3";"PP02C4";"PP02C5";"PP02C6";"PP02C7";"PP02C8";"PP02E";"PP02H";"PP02I";"PP03C";"PP03D";"PP3E_TOT";"PP3F_TOT";"PP03G";"PP03H";"PP03I";"PP03J";"INTENSI";"PP04A";"PP04B_COD";"PP04B1";"PP04B2";"PP04B3_MES";"PP04B3_ANO";"PP04B3_DIA";"PP04C";"PP04C99";"PP04D_COD";"PP04G";"PP05B2_MES";"PP05B2_ANO";"PP05B2_DIA";"PP05C_1";"PP05C_2";"PP05C_3";"PP05E";"PP05F";"PP05H";"PP06A";"PP06C";"PP06D";"PP06E";"PP06H";"PP07A";"PP07C";"PP07D";"PP07E";"PP07F1";"PP07F2";"PP07F3";"PP07F4";"PP07F5";"PP07G1";"PP07G2";"PP07G3";"PP07G4";"PP07G_59";"PP07H";"PP07I";"PP07J";"PP07K";"PP08D1";"PP08D4";"PP08F1";"PP08F2";"PP08J1";"PP08J2";"PP08J3";"PP09A";"PP09A_ESP";"PP09B";"PP09C";"PP09C_ESP";"PP10A";"PP10C";"PP10D";"PP10E";"PP11A";"PP11B_COD";"PP11B1";"PP11B2_MES";"PP11B2_ANO";"PP11B2_DIA";"PP11C";"PP11C99";"PP11D_COD";"PP11G_ANO";"PP11G_MES";"PP11G_DIA";"PP11L";"PP11L1";"PP11M";"PP11N";"PP11O";"PP11P";"PP11Q";"PP11R";"PP11S";"PP11T";"P21";"DECOCUR";"IDECOCUR";"RDECOCUR";"GDECOCUR";"PDECOCUR";"ADECOCUR";"PONDIIO";"TOT_P12";"P47T";"DECINDR";"IDECINDR";"RDECINDR";"GDECINDR";"PDECINDR";"ADECINDR";"PONDII";"V2_M";"V3_M";"V4_M";"V5_M";"V8_M";"V9_M";"V10_M";"V11_M";"V12_M";"V18_M";"V19_AM";"V21_M";"T_VI";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH"
"TQRMNORUUHJLMRCDEIIAD00861800";2024;2;1;2;1;1;"S";32;2678;2;2;22/02/1958;66;2;1;1;2;0;6;1;"";1;"";1;"";6;3;0;4;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"";"0";"0";"";"0";2678;0;500000;"7";"";"7";"7";"";"5";3621;0;0;0;0;0;0;0;0;0;0;0;500000;500000;1000000;"8";"";"7";"8";"";"6";500000;"9";"";"8";"8";"";"6";4604
"TQRMNORPRHKLMUCDEIIAD00858515";2024;2;1;1;1;1;"S";32;2912;1;2;11/10/1971;52;3;1;1;2;0;6;1;"";1;"";1;"";6;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;2;2;45;10;2;0;2;2;3;1;8401;2;0;0;0;0;12;0;"41332";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;1;2;2;2;0;1;1;1;1;0;1;0;1;1;900000;0;0;0;0;0;0;1;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;900000;"9";"";"9";"9";"";"8";3482;200000;1365000;"10";"";"10";"10";"";"9";3581;0;0;0;0;85000;0;0;0;180000;0;0;0;265000;1365000;"9";"";"9";"9";"";"7";455000;"8";"";"8";"8";"";"6";3713
"TQRMNORPRHKLMUCDEIIAD00858515";2024;2;1;2;1;1;"S";32;2912;3;2;07/06/2005;19;5;12;1;2;0;6;2;"01";1;"";1;"";5;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;9;0;2;0;2;2;2;2;9301;2;0;0;0;0;11;0;"51314";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;3;2;2;2;2;5;2;2;2;2;5;2;2;1;5;0;0;0;0;0;0;0;1;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"";"0";"0";"";"0";2912;0;0;"0";"";"0";"0";"";"0";2912;0;0;0;0;0;0;0;0;0;0;0;0;0;1365000;"9";"";"9";"9";"";"7";455000;"8";"";"8";"8";"";"6";3713
"TQRMNORPRHKLMUCDEIIAD00858515";2024;2;1;3;1;1;"S";32;2912;3;2;05/05/2010;14;5;2;1;1;2;4;2;"01";1;"";1;"";3;3;0;3;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"";"0";"0";"";"0";2912;0;0;"0";"";"0";"0";"";"0";2912;0;0;0;0;0;0;0;0;0;0;0;0;0;1365000;"9";"";"9";"9";"";"7";455000;"8";"";"8";"8";"";"6";3713
"TQRMNOSSUHKLMUCDEIIAD00858728";2024;2;1;1;1;1;"S";32;1519;1;2;21/08/1974;49;1;1;1;2;0;6;1;"";1;"";1;"";6;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;30;0;1;1;1;2;1;2;4807;2;0;0;0;0;6;0;"20333";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;1;2;2;2;0;1;1;1;1;0;1;0;1;1;750000;0;0;0;0;0;0;1;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;750000;"9";"";"8";"9";"";"7";1437;0;750700;"9";"";"9";"9";"";"7";1868;0;0;0;0;0;0;0;0;0;700;0;0;700;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0
"TQRMNOSSUHKLMUCDEIIAD00858728";2024;2;1;2;1;1;"S";32;1519;2;1;22/01/1976;48;1;1;1;2;0;4;1;"";1;"";1;"";4;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;999;0;1;1;1;2;2;2;4903;2;0;0;0;0;12;0;"34323";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;2;5;2;2;2;2;5;2;1;3;3;0;0;-9;0;0;0;0;3;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;-9;"12";"";"12";"12";"";"12";0;0;-9;"12";"";"12";"12";"";"12";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0
"TQRMNOQWVHKMNLCDEIIAD00858516";2024;2;1;1;1;1;"S";32;2805;1;2;25/08/1982;41;2;2;1;2;0;8;1;"";1;"";1;"";6;1;2;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;35;0;2;0;2;2;2;2;8600;2;0;0;0;0;1;0;"40111";1;0;0;0;3;2;1;1;7;6;2;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;-9;"12";"";"12";"12";"";"12";0;0;-9;"12";"";"12";"12";"";"12";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0
"TQRMNOQWVHKMNLCDEIIAD00858516";2024;2;1;2;1;1;"S";32;2805;2;1;29/06/1981;43;2;2;1;2;0;8;1;"";1;"";1;"";6;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;60;0;2;0;2;2;3;2;8600;2;0;0;0;0;99;9;"40311";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;2;2;2;5;1;1;1;1;0;1;0;1;1;-9;0;0;0;0;0;0;1;"";0;0;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;-9;"12";"";"12";"12";"";"12";0;0;-9;"12";"";"12";"12";"";"12";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0
"TQRMNOQWVHKMNLCDEIIAD00858516";2024;2;1;3;1;1;"S";32;2805;3;1;05/09/2011;12;5;2;1;1;2;2;2;"06";1;"";1;"";1;3;0;3;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"";"0";"0";"";"0";2805;0;0;"0";"";"0";"0";"";"0";2805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0
"TQRMNOQWVHKMNLCDEIIAD00858516";2024;2;1;4;1;1;"S";32;2805;3;2;12/03/2013;11;5;2;1;1;2;2;2;"05";1;"";1;"";1;3;0;3;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";;;"";;;;;;;;;;;;;"";;;;;;;;;;;;;;0;"0";"";"0";"0";"";"0";2805;0;0;"0";"";"0";"0";"";"0";2805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0
